Entry	Cross-reference (Pfam)
Q9NR19	PF16177;PF00501;PF13193;
Q4G176	PF00501;PF13193;
Q9ULC5	PF00501;
Q6P461	PF00501;
P45381	PF04952;
Q8WTP8	PF00929;
P51816	PF05110;
O95081	PF01412;
O95394	PF02878;PF00408;
Q9H9G7	PF08699;PF16488;PF16487;PF16486;PF02170;PF02171;
O60242	PF00002;PF16489;PF01825;PF02793;PF00090;
Q9BYV1	PF00202;
Q719I0	PF09229;
Q9NVV5	PF04750;
Q9NZN9	PF00254;
Q5SQ80	PF12796;
P02750	PF13855;
A7E2S9	PF12796;
Q9NS82	PF13520;
P01011	PF00079;
Q8NC06	PF00887;
Q5T8D3	PF00887;
Q9BYF1	PF16959;PF01401;
Q07912	PF09027;PF11555;PF07714;PF14604;
P25106	PF00001;
Q5JWF8	PF00022;
Q4L235	PF00501;PF00550;PF13360;PF13570;
P62736	PF00022;
P68032	PF00022;
P11766	PF08240;PF00107;
P12236	PF00153;
Q8TED9	PF00169;
Q8N4X5	PF00169;
Q13015	PF15017;
Q5I7T1	PF04922;
Q5VW22	PF12796;PF01412;
P30443	PF07654;PF00129;PF06623;
P04439	PF07654;PF00129;PF06623;
P13746	PF07654;PF00129;PF06623;
Q4AC99	PF00155;
P05534	PF07654;PF00129;PF06623;
P30450	PF07654;PF00129;PF06623;
P16189	PF07654;PF00129;PF06623;
P30453	PF07654;PF00129;PF06623;
P30456	PF07654;PF00129;PF06623;
P30459	PF07654;PF00129;PF06623;
P30461	PF07654;PF00129;PF06623;
P30464	PF07654;PF00129;PF06623;
P03989	PF07654;PF00129;PF06623;
P18463	PF07654;PF00129;PF06623;
P30479	PF07654;PF00129;PF06623;
P30488	PF07654;PF00129;PF06623;
P18464	PF07654;PF00129;PF06623;
P10319	PF07654;PF00129;PF06623;
Q31610	PF07654;PF00129;PF06623;
P30510	PF07654;PF00129;PF06623;
Q29960	PF07654;PF00129;PF06623;
Q29865	PF07654;PF00129;PF06623;
Q15173	PF01603;
P01912	PF07654;PF00969;
P13761	PF07654;PF00969;
P20039	PF07654;PF00969;
P01911	PF07654;PF00969;
O60516	PF05456;
Q70Z44	PF02931;PF02932;
P47898	PF00001;
P34969	PF00001;
Q96P26	PF06189;
Q969T7	PF05822;
Q8NAA4	PF08614;PF00400;
P02763	PF00061;
A8K2U0	PF00207;PF07678;PF01835;PF07703;PF07677;PF10569;
P0DMS8	PF00001;
Q9Y615	PF00022;PF16840;
Q8TDX5	PF04909;
Q9NPJ3	PF03061;
Q86TX2	PF08840;PF04775;
P49753	PF08840;PF04775;
Q3I5F7	PF08840;
Q6ZNF0	PF00149;PF14008;PF16656;
O14561	PF00550;
Q08AH3	PF00501;PF13193;
P33121	PF00501;
O95573	PF00501;
Q6NUN0	PF00501;PF13193;
Q9BYX7	PF00022;
P63267	PF00022;
O43707	PF00307;PF08726;PF00435;
Q8TDG2	PF00022;
P37023	PF07714;PF08515;
Q04771	PF01064;PF00069;PF08515;
P14621	PF00708;
O75078	PF08516;PF00200;PF07974;PF01562;PF01421;
P35368	PF00001;
P25100	PF00001;
Q9P0K1	PF08516;PF00200;PF07974;PF01562;PF01421;
Q9UKF2	PF08516;PF00200;PF01562;PF01421;
Q9BZ11	PF08516;PF00200;PF01562;PF01421;
Q96M93	PF02137;PF00035;
Q7Z6V5	PF14437;
P00813	PF00962;
Q7Z695	PF03109;
P62258	PF00244;
P63104	PF00244;
P16188	PF07654;PF00129;PF06623;
P30460	PF07654;PF00129;PF06623;
Q95365	PF07654;PF00129;PF06623;
Q04826	PF07654;PF00129;PF06623;
P30480	PF07654;PF00129;PF06623;
P30481	PF07654;PF00129;PF06623;
P30487	PF07654;PF00129;PF06623;
P30490	PF07654;PF00129;PF06623;
P30492	PF07654;PF00129;PF06623;
Q29836	PF07654;PF00129;PF06623;
Q31612	PF07654;PF00129;PF06623;
Q95604	PF07654;PF00129;PF06623;
Q15172	PF01603;
Q9TQE0	PF07654;PF00969;
Q5Y7A7	PF07654;PF00969;
P14060	PF01073;
P30542	PF00001;
Q9NRG9	PF00400;
Q9BTE6	PF01411;PF07973;
P17174	PF00155;
Q96GS6	PF12146;
Q6UXT9	PF12146;
Q96SE0	PF00561;
P08910	PF00561;
Q8TB40	PF00561;
Q8WTS1	PF00561;
Q9BV23	PF00561;
Q13085	PF08326;PF02785;PF00289;PF00364;PF01039;PF02786;
Q9UKU7	PF00441;PF02770;PF02771;
Q15027	PF12796;PF01412;PF00169;
Q96GR2	PF00501;
Q5FVE4	PF00501;
P02708	PF02931;PF02932;
P07510	PF02931;PF02932;
O00590	PF00001;
Q8WYK0	PF03061;PF01852;
Q8N1Q8	PF03061;
Q99798	PF00330;PF00694;
Q15067	PF01756;PF02770;PF14749;
Q99424	PF01756;PF02770;PF14749;
O15254	PF01756;PF02770;
P13798	PF00326;
P12814	PF00307;PF08726;PF00435;
P68133	PF00022;
Q16537	PF01603;
Q13362	PF01603;
P30153	PF02985;
Q30167	PF07654;PF00969;
Q29974	PF07654;PF00969;
Q7L8J4	PF05276;
Q13542	PF05456;
P08908	PF00001;
P28335	PF00001;
O95264	PF02931;PF02932;
P49902	PF05761;
P29274	PF00001;
P29275	PF00001;
Q9H7C9	PF04430;
Q9UH17	PF08210;
Q9HC16	PF08210;
Q9BZC7	PF00005;
Q9NP58	PF00664;PF00005;PF16185;
Q9NRK6	PF00664;PF00005;
O95342	PF00664;PF00005;
Q9NSE7	PF00664;
P41238	PF08210;
Q8WU67	PF00561;
Q9H3Z7	PF00561;
Q8IZP0	PF07815;PF00018;
O14639	PF16182;PF00412;PF02209;
Q6H8Q1	PF16182;PF00412;PF02209;
Q96P50	PF01412;PF00169;
O00400	PF13000;
P07108	PF00887;
Q6JQN1	PF00441;PF02770;PF02771;PF01636;PF13419;
Q709F0	PF00441;PF02770;PF02771;PF01636;
Q9UKV3	PF16294;PF02037;
P20309	PF00001;
P08173	PF00001;
Q8N9L9	PF08840;PF04775;
Q9NUZ1	PF01756;PF00441;PF02770;
P36639	PF00293;
Q676U5	PF08614;PF00400;
P04217	PF13895;
Q5VUR7	PF12796;
Q9NPC4	PF04572;PF04488;
P05067	PF10515;PF12924;PF12925;PF02177;PF03494;PF00014;
Q13685	PF00400;
Q8NHS2	PF00155;
Q96AK3	PF08210;
Q8IUX4	PF08210;
P78363	PF00005;
Q8WWZ4	PF00005;
Q86UQ4	PF00005;
Q2M3G0	PF00664;PF00005;
Q9NP78	PF00664;PF00005;
O14678	PF06472;PF00005;
Q8NE71	PF00005;PF12848;
Q9UNQ0	PF01061;PF00005;
Q9H172	PF01061;PF00005;
Q9H222	PF01061;PF00005;
Q9H221	PF01061;PF00005;
Q8NFV4	PF12697;
Q7L211	PF12146;
Q96IU4	PF12697;
P42684	PF08919;PF07714;PF00017;PF00018;
Q9H845	PF00441;PF02770;PF02771;
P11310	PF00441;PF02770;PF02771;
Q15057	PF12796;PF01412;PF00169;
Q8TDN7	PF05875;
P22303	PF08674;PF00135;
P32297	PF02931;PF02932;
P30532	PF02931;PF02932;
Q9UGM1	PF02931;PF02932;
P17787	PF02931;PF02932;
Q05901	PF02931;PF02932;
Q04844	PF02931;PF02932;
P53396	PF16114;PF00285;PF02629;PF00549;
P11229	PF00001;
P08172	PF00001;
P21399	PF00330;PF00694;
Q68CK6	PF00501;PF13193;
P27348	PF00244;
Q96QU6	PF00155;
P10314	PF07654;PF00129;PF06623;
P30455	PF07654;PF00129;PF06623;
P30457	PF07654;PF00129;PF06623;
P01891	PF07654;PF00129;PF06623;
P10316	PF07654;PF00129;PF06623;
Q14738	PF01603;
P30154	PF02985;
P13760	PF07654;PF00969;
Q9NRA8	PF10477;
P28221	PF00001;
Q8WXA8	PF02931;PF02932;
A5X5Y0	PF02931;PF02932;
Q13639	PF00001;
P05408	PF05281;
P0DKL9	PF14949;
P08697	PF00079;
P01023	PF00207;PF07678;PF01835;PF07703;PF07677;PF10569;
U3KPV4	PF03414;
Q7RTV5	PF13911;
Q6PD74	PF10199;
Q9Y478	PF16561;PF04739;
P54619	PF00571;
P54646	PF16579;PF00069;
Q7Z5M8	PF12146;
Q7Z5R6	PF00169;PF00788;
Q96I13	PF00561;
Q9NYB9	PF07815;PF14604;
P00519	PF08919;PF07714;PF00017;PF00018;
Q8N6N7	PF00887;
Q9NUN7	PF05875;
Q04917	PF00244;
P30447	PF07654;PF00129;PF06623;
P18462	PF07654;PF00129;PF06623;
P30512	PF07654;PF00129;PF06623;
P16190	PF07654;PF00129;PF06623;
Q09160	PF07654;PF00129;PF06623;
P30462	PF07654;PF00129;PF06623;
P30466	PF07654;PF00129;PF06623;
P30685	PF07654;PF00129;PF06623;
P30475	PF07654;PF00129;PF06623;
P30483	PF07654;PF00129;PF06623;
P30484	PF07654;PF00129;PF06623;
P30485	PF07654;PF00129;PF06623;
P30486	PF07654;PF00129;PF06623;
P30493	PF07654;PF00129;PF06623;
P30495	PF07654;PF00129;PF06623;
P18465	PF07654;PF00129;PF06623;
Q29940	PF07654;PF00129;PF06623;
P30498	PF07654;PF00129;PF06623;
Q29718	PF07654;PF00129;PF06623;
P30501	PF07654;PF00129;PF06623;
P04222	PF07654;PF00129;PF06623;
P30504	PF07654;PF00129;PF06623;
Q29963	PF07654;PF00129;PF06623;
P30505	PF07654;PF00129;PF06623;
P30508	PF07654;PF00129;PF06623;
Q07000	PF07654;PF00129;PF06623;
Q9H2F3	PF01073;
P78314	PF00169;PF00017;
O60239	PF05276;
P31937	PF14833;PF03446;
P29372	PF02245;
P08195	PF00128;PF16028;
P28566	PF00001;
P30939	PF00001;
P28223	PF00001;
P41595	PF00001;
P46098	PF02931;PF02932;
P50406	PF00001;
Q9BXI3	PF06189;
Q9H0P0	PF05822;
P56378	PF08039;
Q9NQ94	PF00076;
A0PJZ0	PF00023;PF12796;
P22760	PF07859;
Q15758	PF00375;
Q86V21	PF16177;PF00501;
O95477	PF00005;
Q8N139	PF00005;
Q8IZY2	PF00005;
O94911	PF00005;
Q8IUA7	PF00005;
Q4W5N1	PF00005;
Q9NUT2	PF00664;PF00005;
O60706	PF00664;PF00005;
Q96J66	PF00664;PF00005;
Q9UBJ2	PF06472;PF00005;
Q9UG63	PF00005;PF12848;
Q8N961	PF12796;PF00651;
O00763	PF08326;PF02785;PF00289;PF00364;PF01039;PF02786;
P28330	PF00441;PF02770;PF02771;
P16219	PF00441;PF02770;PF02771;
P49748	PF00441;PF02770;PF02771;
Q9BR61	PF00887;PF12796;
P31946	PF00244;
P61981	PF00244;
P31947	PF00244;
P01892	PF07654;PF00129;PF06623;
P01889	PF07654;PF00129;PF06623;
P30491	PF07654;PF00129;PF06623;
P30499	PF07654;PF00129;PF06623;
Q9TNN7	PF07654;PF00129;PF06623;
P10321	PF07654;PF00129;PF06623;
Q9GIY3	PF07654;PF00969;
Q9Y3L3	PF03114;PF00620;
P46952	PF06052;
P28222	PF00001;
P21589	PF02872;PF00149;
P52209	PF00393;PF03446;
O95336	PF01182;
Q8IZ83	PF00171;
P19652	PF00061;
P01009	PF00079;
Q5TYW2	PF12796;
Q4UJ75	PF12796;
Q9NY61	PF13339;PF08164;
P00505	PF00155;
Q5VST6	PF12146;
P31941	PF08210;
Q9NRW3	PF08210;
Q8WWZ7	PF00005;
P28288	PF06472;PF00005;
Q9NUQ8	PF00005;PF12848;
P45844	PF01061;PF00005;
Q8N2K0	PF12146;
Q9NUJ1	PF00561;
O95870	PF00561;
P04229	PF07654;PF00969;
Q30134	PF07654;PF00969;
Q95IE3	PF07654;PF00969;
Q9P1F3	PF14705;
Q8N0Z2	PF14705;
P45954	PF00441;PF02770;PF02771;
Q5QJU3	PF05875;
P43681	PF02931;PF02932;
Q96QF7	PF10263;
Q9NUB1	PF16177;PF00501;PF13193;
O60488	PF00501;
Q08AH1	PF00501;PF13193;
Q53FZ2	PF00501;PF13193;
P63261	PF00022;
Q01718	PF00001;
Q9H568	PF00022;
P35609	PF00307;PF08726;PF00435;
Q9BYD9	PF00022;
P42025	PF00022;
Q8NER5	PF07714;PF08515;
P78536	PF16698;PF00200;PF01562;
Q9H013	PF08516;PF00200;PF01562;PF01421;
Q9UKJ8	PF08516;PF00200;PF01562;PF01421;
Q9UKF5	PF08516;PF00200;PF01562;PF01421;
Q8TC27	PF08516;PF00200;PF01562;PF01421;
Q8NCV1	PF02137;PF00035;
Q6DHV7	PF00962;
Q96EY9	PF00383;
Q08828	PF16214;PF00211;
O43306	PF16214;PF06327;PF00211;
P51828	PF16214;PF06327;PF00211;
P35612	PF00596;
Q99490	PF12796;PF01412;PF00071;
A6NIR3	PF12796;PF01412;
Q5VTM2	PF01412;
Q53H12	PF00781;
Q96PE1	PF00002;PF01825;PF13855;
O60241	PF00002;PF16489;PF01825;PF00090;
Q7Z7M1	PF00002;PF01825;PF00354;
Q9UHX3	PF00002;PF07645;PF01825;
Q5T601	PF00002;PF01825;PF01390;
Q8IZF2	PF00002;PF01825;PF01390;
O00468	PF00008;PF00050;PF07648;PF00053;PF00054;PF03146;PF01390;
O95490	PF00002;PF16489;PF02140;PF01825;PF02793;PF02354;PF02191;
Q96BJ3	PF14186;PF08910;
Q9H2A2	PF00171;
Q9H6U8	PF03901;
Q6NS38	PF13532;
Q3KRA9	PF13532;
Q96BT7	PF13532;PF09004;PF08241;
Q9Y614	PF00022;
Q8WXI4	PF03061;PF01852;
Q9UKU0	PF00501;
P60709	PF00022;
Q08043	PF00307;PF08726;PF00435;
P61163	PF00022;
P07311	PF00708;
Q9Y3Q7	PF08516;PF00200;PF01562;PF01421;
P35348	PF00001;
O43506	PF08516;PF00200;PF01562;PF01421;
O75077	PF08516;PF00200;PF01562;PF01421;
Q9UKQ2	PF08516;PF00200;PF01562;PF01421;
P18825	PF00001;
Q15848	PF00386;PF01391;
Q9NRN7	PF01648;
P54922	PF03747;
Q3LIE5	PF00149;
P13945	PF00001;
P10109	PF00111;
Q6ULP2	PF15045;
Q9UL18	PF08699;PF16488;PF16487;PF16486;PF02170;PF02171;
Q9HCK5	PF08699;PF16488;PF16487;PF16486;PF02170;PF02171;
Q6QNK2	PF00002;PF01825;
Q86SQ3	PF00002;PF07645;PF01825;
Q86Y34	PF00002;PF01825;
Q9HBW9	PF00002;PF07645;PF16489;PF01825;
P50052	PF00001;
Q8N157	PF00018;PF00400;
P35869	PF00010;PF00989;PF08447;
O95831	PF14721;PF07992;
O00170	PF00254;
Q9UKB5	PF15298;
A6NHY2	PF12796;
Q8TC94	PF00022;
P36896	PF01064;PF00069;PF08515;
Q03154	PF07687;PF01546;
Q96HD9	PF04952;
Q3MIX3	PF03109;
O95622	PF16214;PF06327;PF00211;
P40145	PF16214;PF06327;PF00211;
P28332	PF08240;PF00107;
P40394	PF08240;PF00107;
Q0VDE8	PF15202;
P55263	PF00294;
Q86V24	PF03006;
P22570	PF07992;
Q9Y6U3	PF00626;
P12235	PF00153;
P05141	PF00153;
Q08117	PF03920;
Q5BKT4	PF04922;
P06280	PF16499;
Q96P47	PF12796;PF01412;PF00071;
Q5VUJ5	PF12796;PF01412;
Q8IWK6	PF00002;PF01825;PF07679;PF13855;
Q8IZF3	PF00002;PF01825;
Q9Y653	PF00002;PF01825;
Q8IZP9	PF00002;PF01825;
Q8IZF6	PF00002;PF01825;PF00354;
Q96K78	PF00002;PF01825;
Q9HAR2	PF00002;PF16489;PF02140;PF01825;PF02793;PF02354;PF02191;
O00253	PF05039;
P30556	PF00001;
Q8N1P7	PF00030;PF00652;
Q96IF1	PF00412;
O60218	PF00248;
Q04828	PF00248;
P17516	PF00248;
O43687	PF10470;
P24588	PF03832;
O43823	PF04988;
O94788	PF00171;
P20292	PF01124;
Q96F25	PF08660;
Q9BT22	PF00534;
Q9H553	PF13439;PF00534;
Q9Y4X0	PF01871;
Q9BXJ7	PF14828;
Q99965	PF08516;PF00200;PF01562;PF01421;
Q13443	PF08516;PF00200;PF01562;PF01421;
Q9NPF8	PF01412;PF00169;
Q9BUB4	PF02137;
Q9Y2D8	PF11559;
Q7Z4H4	PF00214;
P35318	PF00214;
Q96A54	PF03006;
P07550	PF00001;
Q16186	PF04683;PF16550;
Q9H0C2	PF00153;
Q96IZ2	PF04750;
Q6UXC1	PF00057;PF00629;
P55196	PF01843;PF00498;PF00595;PF00788;
Q9Y4W6	PF00004;PF06480;PF01434;
Q14246	PF00002;PF12662;PF07645;PF01825;
Q9BY15	PF00002;PF07645;PF16489;PF01825;
Q8IZF7	PF00002;PF01825;
Q8IZF5	PF00002;PF01825;PF02793;
Q8IZF4	PF00002;PF01825;
Q86SQ4	PF00002;PF00431;PF01825;PF00354;
O94910	PF00002;PF16489;PF02140;PF01825;PF02793;PF02354;PF02191;
Q9GZX7	PF08210;
Q9BRQ8	PF07992;
P52895	PF00248;
P42330	PF00248;
Q495B1	PF00023;PF12796;
Q9NWT8	PF08213;
Q7Z591	PF12443;
P31749	PF00169;PF00069;PF00433;
Q9Y243	PF00169;PF00069;PF00433;
Q96B36	PF15798;
P00352	PF00171;
P30837	PF00171;
Q9BV10	PF03901;
Q9Y673	PF00535;
Q9BVK2	PF03155;
Q96Q83	PF13532;
Q9UM73	PF00629;PF07714;
Q9H4A4	PF09127;PF01433;
P04746	PF00128;PF02806;
Q86TW2	PF03109;
Q6P093	PF07859;
Q5VUY2	PF07859;
Q08462	PF16214;PF06327;PF00211;
P35611	PF00596;
Q8N7X0	PF00648;
Q9H2P0	PF00046;
P08588	PF00001;
P51825	PF05110;
P51826	PF05110;
Q9UHB7	PF05110;
Q9Y4K1	PF00030;PF00652;
Q92667	PF00013;PF00567;
Q99996	PF10495;
Q8N8R7	PF14949;
Q60I27	PF02493;PF02204;
Q8TD30	PF00155;
Q2TAA5	PF15924;PF00534;
Q9NP73	PF04101;PF02338;
Q96L96	PF02816;PF07679;
Q5JTC6	PF09422;
Q8N944	PF09422;
P23109	PF00962;
Q01432	PF00962;
Q07075	PF11838;PF01433;
Q5JPF3	PF12796;
Q96K21	PF01363;
P23582	PF00212;
Q9NW15	PF04547;
Q5XXA6	PF16178;PF04547;
A1A5B4	PF04547;
Q8N9B4	PF12796;
Q5TZF3	PF12796;
Q9BZ19	PF12796;
P08758	PF00191;
P27338	PF01593;
Q9NUS5	PF15001;
P07327	PF08240;PF00107;
P00325	PF08240;PF00107;
P00326	PF08240;PF00107;
Q96SZ5	PF07847;
P42568	PF03366;
P43652	PF00273;
Q8N556	PF00169;
A8MT82	PF12796;PF01412;
Q8TF27	PF12796;PF01412;
Q9UPQ3	PF12796;PF01412;PF00071;
Q96P64	PF12796;PF01412;
P52594	PF01412;
Q8N302	PF00498;PF01585;
Q9UKV8	PF08699;PF16488;PF16487;PF16486;PF02170;PF02171;
Q86SQ6	PF00002;
Q12904	PF01588;
Q13155	PF16780;PF00043;
Q16352	PF00038;PF04732;
C9JRZ8	PF00248;
O43572	PF00615;
Q86UN6	PF14469;
P0CW23	PF10470;
Q5JQC9	PF05716;PF10522;
P05091	PF00171;
P04075	PF00274;
Q13686	PF13532;
Q6P6C2	PF13532;
Q6ZNB7	PF04116;
Q8N6M5	PF03561;
Q6Q4G3	PF11838;PF01433;
P0C6C1	PF12796;
A6QL64	PF12796;
P54802	PF05089;PF12972;PF12971;
Q9BY76	PF00147;
O15123	PF00147;
Q9NQW6	PF08174;PF16018;PF00169;
Q8NEB7	PF07222;
P10323	PF00089;
Q8TDY3	PF00022;
Q6NVV9	PF08516;PF01562;
Q5TGY3	PF15735;
O14862	PF02760;PF02758;
O43918	PF03172;PF00628;PF01342;
P14550	PF00248;
P51857	PF00248;
Q9P0M2	PF10469;PF10470;
Q9Y2D5	PF15304;
Q5T2L2	PF00248;
P05062	PF00274;
P09972	PF00274;
P15121	PF00248;
Q92685	PF05208;
Q8TCU4	PF15309;
Q96Q42	PF02493;PF00415;PF00621;PF02204;
Q15699	PF00046;PF03826;
Q99218	PF02948;
Q8N7J2	PF09422;
Q6DCA0	PF01871;
Q86WK6	PF07679;PF13855;
Q4VCS5	PF12240;
Q01433	PF00962;
Q86W34	PF07998;
Q8N6S4	PF12796;PF11904;
Q9BXX2	PF12796;
A5PLL1	PF12796;
Q8N2N9	PF12796;
Q86XS5	PF00147;
Q3KP44	PF12796;
A9YTQ3	PF00010;PF00989;
O95433	PF09229;PF08327;
O75969	PF05716;PF10522;
Q96JD6	PF00248;
Q9ULX6	PF04988;
P49419	PF00171;
P35858	PF13855;PF01462;
Q9H161	PF00046;PF03826;
Q9NP70	PF05111;
P02760	PF00014;PF00061;
Q99217	PF02948;
Q9UKV5	PF02845;PF13639;
Q86SJ2	PF00047;PF13855;
Q8IZ07	PF11904;
A2A2Z9	PF12796;PF12001;
Q9Y5C1	PF00147;
Q15389	PF00147;
P01019	PF00079;
Q9HCJ1	PF07260;
Q6ZW76	PF12796;PF00536;
Q96CW1	PF00928;PF01217;
P53680	PF01217;
Q9Y2T2	PF00928;PF01217;
Q92572	PF01217;
P50583	PF00293;
Q9Y6B7	PF01602;PF09066;
O43299	PF14764;
O95704	PF00640;
Q9NYG5	PF12861;
O95996	PF05956;PF16689;PF05923;PF00514;PF05924;
P25054	PF05972;PF05956;PF16689;PF05923;PF00514;PF05937;PF05924;
Q8WW43	PF06105;
Q9P2G1	PF00023;PF01485;
Q5T1N1	PF12443;
Q3SY69	PF00171;PF02911;PF00551;PF00550;
P30838	PF00171;
P48448	PF00171;
P49189	PF00171;
P24298	PF00155;
P02768	PF00273;
Q96QP1	PF02816;
P55789	PF04777;
Q9UHK6	PF02515;
Q86WK7	PF13855;
P28838	PF00883;PF02789;
P19961	PF00128;PF02806;
Q9UNK9	PF03372;
Q9HCE9	PF04547;
P20594	PF01094;PF00211;PF07714;
Q9NXR5	PF12796;
Q6UB98	PF00023;PF12796;
Q96NW4	PF12796;PF13606;PF02204;
Q7Z713	PF12796;
A6NGH8	PF12796;
E5RJM6	PF12796;
Q9H9E1	PF12796;
Q7Z6G8	PF12796;PF00640;PF00536;
P58335	PF05586;PF05587;PF00092;
P27216	PF00191;
P12429	PF00191;
P56377	PF01217;
Q13367	PF01602;PF14796;
O00189	PF00928;PF01217;
Q9Y587	PF01217;
Q9H0R1	PF00928;
P35414	PF00001;
Q96LR9	PF05461;
Q8IW19	PF10283;
P51693	PF10515;PF12924;PF12925;PF02177;
Q9HDC9	PF03088;
P04114	PF12491;PF06448;PF09172;PF01347;
Q13790	PF15148;
O95236	PF05461;
P55087	PF00230;
Q6NSI1	PF12796;
Q9Y2Y0	PF11527;
Q8N6S5	PF15062;
P25098	PF00169;PF00069;PF00615;
Q8N4T4	PF00621;
Q9NXL2	PF00621;PF07653;PF14604;
Q9NR80	PF00169;PF00621;PF00018;
Q15052	PF16523;PF00307;PF00169;PF00621;PF14604;
Q14155	PF00307;PF00169;PF00621;PF07653;
O15013	PF00621;
O15085	PF00595;PF09128;PF00621;
Q5VV41	PF00169;PF00621;PF14604;
Q6ZSZ5	PF00169;PF00621;
Q86VW2	PF00621;
Q96DR7	PF00621;PF14604;
Q8NFD5	PF01388;PF12031;
Q8NHP1	PF00248;
Q96KC2	PF00025;
Q9H0F7	PF00025;
Q9NZ32	PF00022;
P56211	PF04667;
Q9UBL0	PF01424;PF12752;
Q9BPX5	PF04699;
Q9GZN1	PF00022;
Q7Z6K5	PF10574;
P51690	PF00884;
Q8N957	PF00041;
Q32M45	PF16178;PF04547;
Q4KMQ2	PF16178;PF04547;
Q9UPS8	PF00023;PF12796;PF12001;
Q8N283	PF00023;PF12796;
P04083	PF00191;
Q16853	PF01179;PF02727;PF02728;
Q10567	PF01602;PF02883;PF09066;
Q9BXS5	PF00928;PF01217;
O94973	PF01602;PF02296;PF02883;
P05549	PF03299;
P63010	PF01602;PF02883;PF09066;
O14727	PF00619;PF00931;PF00400;
Q8NCL9	PF14921;
A8MVX0	PF00621;
Q9HCE6	PF00621;
Q8TER5	PF00621;
Q92888	PF09128;PF00621;
Q9NX46	PF03747;
O14497	PF01388;PF12031;
A6NKF2	PF01388;
O95154	PF00248;
P36405	PF00025;
A6NH57	PF00025;
Q6T311	PF00025;
P04424	PF14698;PF00206;
Q5T9G4	PF04826;
Q9H993	PF01937;
Q13510	PF02275;PF15508;
Q9NR71	PF04734;PF17048;
O43150	PF12796;PF01412;PF00169;PF14604;
Q8TDY4	PF12796;PF01412;PF00169;
Q8WXH4	PF12796;PF07525;
Q8WXK3	PF12796;PF07525;
Q96NS5	PF12796;PF07525;
Q9Y575	PF12796;PF13606;PF07525;
Q8WWX0	PF12796;PF07525;
Q9H672	PF12796;PF07525;
Q8N3C0	PF00270;PF00271;PF02889;
P50553	PF00010;
Q7RTU5	PF00010;
Q9ULZ3	PF00619;PF02758;
Q7L266	PF01112;
Q6VUC0	PF03299;
Q02410	PF00595;PF00640;
Q92870	PF00640;PF00397;
Q9BS18	PF05839;
P60006	PF15243;
Q9H1A4	PF12859;
Q9UJX3	PF13181;
Q9UBZ4	PF03372;PF06839;
Q9BZZ5	PF05918;
A6NM10	PF00230;
O60306	PF16399;
Q13795	PF00025;
Q8N1W1	PF00130;PF00621;
Q9NR81	PF00621;
O43307	PF00169;PF00621;PF00018;
Q9NZN5	PF00595;PF09128;PF00621;
Q8IVW6	PF01388;
Q03989	PF01388;
Q14865	PF01388;
Q9Y4B4	PF00271;PF00176;
O43488	PF00248;
Q8N8L6	PF00025;
Q8N4G2	PF00025;
Q6P1M9	PF04826;
O96018	PF00595;PF00640;
P02656	PF05778;
Q13794	PF15150;
P55064	PF00230;
O94778	PF00230;
Q3SXY8	PF00025;
Q8WWN8	PF01412;PF00169;PF00788;PF00620;PF07647;
A1IGU5	PF00621;PF00018;PF07653;
Q92974	PF00621;
